Serial,Timestamp,Date,Time,Symbol,Action,Price,Quantity,Status
888888,2026-01-06 12:14:05,2026-01-06,12:14:05,SYPNL,SELL,1330.0,10,SENT
888889,2026-01-06 12:14:05,2026-01-06,12:14:05,SYPNL,SELL,1330.0,10,SENT
888890,2026-01-06 12:14:10,2026-01-06,12:14:10,JFL,SELL,433.0,10,SENT
888891,2026-01-06 12:14:11,2026-01-06,12:14:11,JFL,SELL,433.0,10,SENT
888892,2026-01-06 12:14:15,2026-01-06,12:14:15,SIFC,SELL,510.0,10,SENT
888893,2026-01-06 12:14:16,2026-01-06,12:14:16,SIFC,SELL,510.0,10,SENT
888894,2026-01-06 12:14:22,2026-01-06,12:14:22,GRDBL,BUY,1156.0,10,SENT
888895,2026-01-06 12:14:22,2026-01-06,12:14:22,GRDBL,BUY,1156.0,10,SENT
888896,2026-01-06 12:14:27,2026-01-06,12:14:27,TSHL,SELL,735.0,10,SENT
888897,2026-01-06 12:14:27,2026-01-06,12:14:27,TSHL,SELL,735.0,10,SENT
888898,2026-01-06 12:14:32,2026-01-06,12:14:32,BANDIPUR,SELL,908.0,10,SENT
888899,2026-01-06 12:14:33,2026-01-06,12:14:33,BANDIPUR,SELL,908.0,10,SENT
888900,2026-01-06 12:14:37,2026-01-06,12:14:37,KDL,SELL,829.0,10,SENT
888901,2026-01-06 12:14:38,2026-01-06,12:14:38,KDL,SELL,829.0,10,SENT
888902,2026-01-06 12:14:42,2026-01-06,12:14:42,RFPL,SELL,378.2,10,SENT
888903,2026-01-06 12:14:43,2026-01-06,12:14:43,RFPL,SELL,378.2,10,SENT
888904,2026-01-06 12:14:48,2026-01-06,12:14:48,GFCL,SELL,634.5,10,SENT
888905,2026-01-06 12:14:49,2026-01-06,12:14:49,GFCL,SELL,634.5,10,SENT
888906,2026-01-06 12:14:53,2026-01-06,12:14:53,DHPL,SELL,294.0,10,SENT
888907,2026-01-06 12:14:54,2026-01-06,12:14:54,DHPL,SELL,294.0,10,SENT
888908,2026-01-06 12:14:58,2026-01-06,12:14:58,BUNGAL,SELL,709.0,10,SENT
888909,2026-01-06 12:14:59,2026-01-06,12:14:59,BUNGAL,SELL,709.0,10,SENT
888910,2026-01-06 12:15:03,2026-01-06,12:15:03,KSBBL,SELL,457.1,10,SENT
888911,2026-01-06 12:15:04,2026-01-06,12:15:04,KSBBL,SELL,457.1,10,SENT
888912,2026-01-06 12:15:08,2026-01-06,12:15:08,HDL,SELL,1181.0,10,SENT
888913,2026-01-06 12:15:09,2026-01-06,12:15:09,HDL,SELL,1181.0,10,SENT
888914,2026-01-06 12:15:13,2026-01-06,12:15:13,KPCL,BUY,542.0,10,SENT
888915,2026-01-06 12:15:14,2026-01-06,12:15:14,KPCL,BUY,542.0,10,SENT
